 "sample" , "image" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a68558b7dc6dd6ebe5" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a68558b7dc6dd6ebf3" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a68558b7dc6dd6ec01" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a78558b7dc6dd6ec0f" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a78558b7dc6dd6ec1d" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a78558b7dc6dd6ec2b" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a88558b7dc6dd6ec39" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a88558b7dc6dd6ec47" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a88558b7dc6dd6ec55" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a98558b7dc6dd6ec63" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a98558b7dc6dd6ec71" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932a98558b7dc6dd6ec7f" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932aa8558b7dc6dd6ec8d" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932aa8558b7dc6dd6ec9b" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932aa8558b7dc6dd6eca9" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932ab8558b7dc6dd6ecb7" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932ab8558b7dc6dd6ecc5" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932ab8558b7dc6dd6ecd3" ,
 "http://materialsmine.org/sample/e408-s16-prasad-2021" , "https://nanomine.org/nmr/blob?id=60b932ac8558b7dc6dd6ece1" ,
